127.0.0.1 - - [22/Oct/2024:12:54:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:54:12 +0530] "GET /MyProject/ HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:54:22 +0530] "GET /MyProject/Index.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:55:45 +0530] "GET /MyProject/ HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:55:55 +0530] "GET /MyProject/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:57:40 +0530] "GET /MyProject/ HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:57:51 +0530] "GET /MyProject/Index.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:57:53 +0530] "GET /MyProject/Wish.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:57:58 +0530] "GET /MyProject/dynamic HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:58:01 +0530] "GET /MyProject/dynamic HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:58:01 +0530] "GET /MyProject/dynamic HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:58:02 +0530] "GET /MyProject/dynamic HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:58:02 +0530] "GET /MyProject/dynamic HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2024:12:58:03 +0530] "GET /MyProject/dynamic HTTP/1.1" 200 25
